epi_id,region_id,year,inflation_rate_pct,interest_rate_pct,govt_debt_gdp_ratio,govt_budget_balance_usd_billion,consumer_confidence_index,data_source_references
EPI-adf66417,R-c26f98df,2020,14.35,3.76,101.6,281.18,95.66,['EPI_far']
EPI-dc6ac667,R-c26f98df,2021,5.84,9.85,20.53,63.36,82.68,['EPI_old']
EPI-ab5fd469,R-c26f98df,2023,2.13,9.18,52.19,-29.44,110.37,['EPI_left']
EPI-3938162c,R-c26f98df,2026,8.15,3.47,54.51,72.15,111.29,['EPI_side']
EPI-c356d644,R-c26f98df,2018,3.21,7.8,183.89,-87.98,76.83,['EPI_Democrat']
EPI-90a68f84,R-c26f98df,2026,5.39,4.57,93.71,157.94,52.69,['EPI_better']
EPI-51a5392c,R-c26f98df,2020,14.84,6.89,194.66,150.35,109.56,['EPI_federal']
EPI-423203c7,R-c26f98df,2024,8.39,5.53,18.98,202.14,102.29,['EPI_reason']
EPI-6b1ce414,R-c26f98df,2025,2.68,8.9,199.16,65.08,98.4,['EPI_than']
EPI-76c0487e,R-b45d339d,2022,4.13,4.5,25.42,37.66,61.56,['EPI_that']
EPI-fe931125,R-b45d339d,2020,8.29,0.31,182.28,149.07,96.13,['EPI_teacher']
EPI-ff41752d,R-b45d339d,2018,7.83,9.2,38.16,196.06,117.32,['EPI_last']
EPI-7ef4c5db,R-b45d339d,2022,12.83,4.12,157.04,-14.58,89.21,['EPI_task']
EPI-de58f81b,R-b45d339d,2021,7.1,3.73,87.83,-3.36,92.69,['EPI_accept']
EPI-3a2fea6b,R-b45d339d,2020,12.42,3.13,81.09,100.86,50.16,['EPI_buy']
EPI-7e35b2af,R-b45d339d,2024,3.58,5.21,24.56,238.19,86.46,['EPI_appear']
EPI-b939f512,R-b45d339d,2022,13.8,2.31,166.55,-85.71,89.32,['EPI_environmental']
EPI-951a5b68,R-b45d339d,2025,10.01,2.37,53.36,193.38,71.07,['EPI_life']
EPI-4596d507,R-b45d339d,2023,3.59,0.34,107.16,15.54,52.08,['EPI_his']
EPI-a6df919f,R-65f80bdb,2024,2.54,6.61,177.44,92.1,113.72,['EPI_method']
EPI-61f346f9,R-65f80bdb,2018,14.18,7.27,184.51,124.6,78.3,['EPI_test']
EPI-88ac9d17,R-65f80bdb,2019,12.78,5.4,101.42,175.43,61.86,['EPI_his']
EPI-1fdb4de4,R-65f80bdb,2024,3.02,8.66,157.82,35.41,51.86,['EPI_daughter']
EPI-fe68649b,R-65f80bdb,2021,5.56,0.33,146.8,77.42,55.21,['EPI_bad']
EPI-196c9985,R-65f80bdb,2018,6.51,8.43,115.93,77.27,53.98,['EPI_success']
EPI-8af5f493,R-65f80bdb,2021,8.59,7.75,83.72,-7.96,88.53,['EPI_forget']
EPI-edf7d8ca,R-65f80bdb,2018,2.78,9.38,130.32,100.03,97.1,['EPI_quality']
EPI-d54a2f16,R-65f80bdb,2026,13.28,1.61,179.4,-10.04,71.99,['EPI_eat']
EPI-ccd6b404,R-65f80bdb,2023,11.51,9.88,141.28,108.66,61.04,['EPI_activity']
EPI-e8a40c29,R-07075c2e,2024,3.71,6.05,60.25,53.45,78.35,['EPI_recent']
EPI-77e04633,R-07075c2e,2021,14.17,9.81,124.71,33.25,87.64,['EPI_ten']
EPI-d4dc3722,R-07075c2e,2018,8.69,2.43,96.72,-14.46,72.48,['EPI_bar']
EPI-a01037bc,R-07075c2e,2024,14.23,4.03,133.83,4.57,106.02,['EPI_training']
EPI-176ed613,R-07075c2e,2025,4.53,0.42,178.46,84.3,100.87,['EPI_there']
EPI-64029b12,R-07075c2e,2019,4.34,3.8,54.85,269.91,82.11,['EPI_manager']
EPI-cb2ff0ee,R-07075c2e,2024,11.35,8.19,175.88,34.94,90.29,['EPI_song']
EPI-4df7696e,R-07075c2e,2018,13.94,6.99,104.62,-80.44,93.57,['EPI_attack']
EPI-146ee067,R-07075c2e,2019,8.38,3.63,191.16,259.26,85.13,['EPI_boy']
EPI-57b9490e,R-07075c2e,2022,11.49,4.02,56.82,138.89,116.68,['EPI_among']
EPI-de622658,R-66d93466,2023,12.63,0.81,21.6,77.13,81.98,['EPI_including']
EPI-b9c28c76,R-66d93466,2020,9.7,2.18,127.46,175.61,51.53,['EPI_go']
EPI-9ee770fb,R-66d93466,2021,1.84,1.82,156.65,116.43,106.93,['EPI_most']
EPI-37537e2a,R-66d93466,2025,12.23,5.83,43.77,-67.66,102.06,['EPI_cup']
EPI-53245745,R-66d93466,2025,2.94,9.48,51.11,-51.82,95.5,['EPI_newspaper']
EPI-5561115c,R-66d93466,2018,4.23,9.67,185.81,201.43,101.69,['EPI_have']
EPI-ba204586,R-66d93466,2021,8.22,2.14,86.63,224.62,103.85,['EPI_until']
EPI-5e69eb58,R-66d93466,2026,7.76,9.9,37.9,-22.39,105.32,['EPI_chair']
EPI-667eff43,R-66d93466,2026,5.18,2.58,168.96,-77.81,111.43,['EPI_list']
EPI-f5f9c06f,R-66d93466,2023,2.18,3.07,115.15,36.65,99.66,['EPI_lot']
EPI-9cf7d5a0,R-426cff89,2021,13.77,8.16,83.81,-65.31,86.02,['EPI_region']
EPI-d1d07775,R-426cff89,2024,12.28,7.12,194.06,-19.67,78.96,['EPI_character']
EPI-d3cab902,R-426cff89,2019,5.4,2.25,11.39,219.55,111.9,['EPI_office']
EPI-1c769e25,R-426cff89,2023,10.69,7.12,109.46,173.97,83.95,['EPI_create']
EPI-597fd3cc,R-426cff89,2026,14.32,9.49,29.43,-60.05,100.7,['EPI_will']
EPI-ed42fb90,R-426cff89,2020,6.58,3.47,102.44,35.31,115.36,['EPI_myself']
EPI-91561c50,R-426cff89,2026,9.22,7.14,28.23,193.61,53.29,['EPI_out']
EPI-6af4f973,R-426cff89,2023,14.2,3.84,186.94,182.34,109.8,['EPI_middle']
EPI-9e6819f4,R-426cff89,2018,4.36,4.63,187.9,15.18,112.87,['EPI_story']
EPI-52c19c4b,R-426cff89,2022,14.49,7.93,66.56,215.23,90.4,['EPI_southern']
EPI-dc09ba1a,R-b1339728,2022,11.36,6.55,69.62,76.13,109.27,['EPI_grow']
EPI-5eff550c,R-b1339728,2020,2.81,2.82,10.26,-85.21,57.62,['EPI_more']
EPI-b46ce3ee,R-b1339728,2022,14.68,7.67,54.92,285.47,76.6,['EPI_process']
EPI-e9845b1d,R-b1339728,2022,11.51,1.58,84.56,103.95,55.85,['EPI_various']
EPI-bfa38643,R-b1339728,2020,1.74,4.3,163.32,192.97,83.94,['EPI_hold']
EPI-774bbbd2,R-b1339728,2022,8.88,7.91,64.35,183.64,93.14,['EPI_surface']
EPI-4410654e,R-b1339728,2022,13.77,6.68,114.67,245.65,100.62,['EPI_glass']
EPI-fdc49bbb,R-b1339728,2021,1.81,6.17,12.45,10.09,63.56,['EPI_beyond']
EPI-17050d47,R-b1339728,2019,10.28,9.63,27.07,243.36,113.26,['EPI_should']
EPI-cb0393a3,R-b1339728,2022,12.35,9.76,149.51,-22.78,105.27,['EPI_center']
EPI-edcc02c3,R-606cd2ca,2025,7.4,3.92,16.69,-34.71,100.74,['EPI_she']
EPI-76e19ba8,R-606cd2ca,2019,12.86,4.84,29.94,133.82,62.04,['EPI_show']
EPI-a837cbef,R-606cd2ca,2022,0.28,0.84,33.36,116.82,87.66,['EPI_common']
EPI-2497c0c7,R-606cd2ca,2018,14.34,6.27,198.7,-8.93,94.8,['EPI_serve']
EPI-9cf1d433,R-606cd2ca,2020,8.72,1.91,70.44,123.01,107.46,['EPI_exactly']
EPI-788f1859,R-606cd2ca,2022,7.18,3.75,173.93,-24.77,71.41,['EPI_fear']
EPI-a3c95dcd,R-606cd2ca,2022,6.15,2.15,107.18,119.28,52.56,['EPI_politics']
EPI-c8ce7bc8,R-606cd2ca,2023,2.42,6.97,181.01,281.22,80.26,['EPI_fall']
EPI-e464c732,R-606cd2ca,2019,4.88,2.92,127.23,-57.99,115.19,['EPI_worry']
EPI-2eeda6b0,R-606cd2ca,2023,6.77,8.93,185.94,264.39,110.52,['EPI_necessary']
EPI-7686376f,R-b4078017,2023,2.45,4.75,133.86,-63.88,117.18,['EPI_rise']
EPI-a80a3e9d,R-b4078017,2025,0.68,2.83,91.24,282.97,102.33,['EPI_mouth']
EPI-d1832898,R-b4078017,2021,8.97,7.7,78.96,118.34,69.07,['EPI_military']
EPI-7bda674f,R-b4078017,2026,2.91,7.51,60.89,211.85,109.57,['EPI_article']
EPI-19a39ff6,R-b4078017,2020,3.77,3.68,182.34,-50.06,112.71,['EPI_shake']
EPI-9f9d74eb,R-b4078017,2021,13.46,6.81,102.27,276.97,71.74,['EPI_school']
EPI-498df959,R-b4078017,2018,7.4,4.61,137.41,254.58,83.08,['EPI_performance']
EPI-144c48e0,R-b4078017,2019,13.51,7.89,15.43,277.93,107.61,['EPI_different']
EPI-c51febb3,R-b4078017,2023,1.22,9.74,62.97,144.05,109.09,['EPI_fast']
EPI-38a3bca4,R-b4078017,2018,8.47,1.94,130.23,-66.53,102.99,['EPI_international']
EPI-0cdd6ffc,R-e5c7735b,2018,3.57,0.68,156.14,282.31,69.82,['EPI_local']
EPI-f010f0fc,R-e5c7735b,2018,11.58,0.49,138.01,208.07,87.32,['EPI_financial']
EPI-76ef73e8,R-e5c7735b,2022,14.01,1.87,186.25,137.28,80.94,['EPI_push']
EPI-82caef96,R-e5c7735b,2019,7.47,7.85,103.46,-45.47,68.49,['EPI_significant']
EPI-8ac4e6a8,R-e5c7735b,2020,8.56,3.82,117.18,296.32,50.21,['EPI_exist']
EPI-997bfe66,R-e5c7735b,2022,11.68,3.0,91.33,200.13,102.55,['EPI_thus']
EPI-ea3ac4eb,R-e5c7735b,2020,10.71,3.53,73.26,219.99,64.04,['EPI_movement']
EPI-ac1f9f3b,R-e5c7735b,2024,14.56,2.43,182.48,-74.03,113.56,['EPI_fear']
EPI-0d4a3ae9,R-e5c7735b,2024,14.01,6.37,38.69,180.82,82.67,['EPI_same']
EPI-3e7a04f5,R-e5c7735b,2026,14.56,6.73,99.52,-21.09,75.36,['EPI_serious']
EPI-fe24d996,R-44f6c236,2020,8.9,7.65,61.64,25.91,86.5,['EPI_least']
EPI-e7d773e6,R-44f6c236,2022,9.19,5.49,103.53,35.18,65.12,['EPI_physical']
EPI-70a5d24e,R-44f6c236,2021,4.19,7.31,146.13,261.0,119.32,['EPI_according']
EPI-da3e52ef,R-44f6c236,2024,7.55,2.38,22.89,51.01,106.29,['EPI_physical']
EPI-59686916,R-44f6c236,2018,13.91,1.53,104.21,18.69,78.71,['EPI_decide']
EPI-456c39e9,R-44f6c236,2023,13.18,8.19,38.07,130.2,98.06,['EPI_rather']
EPI-1c955897,R-44f6c236,2018,14.51,1.46,59.37,154.35,85.02,['EPI_statement']
EPI-c65b998a,R-44f6c236,2018,8.29,8.49,88.68,-49.52,74.15,['EPI_human']
EPI-6ce9b8e6,R-44f6c236,2021,10.5,0.41,159.29,42.66,95.2,['EPI_red']
EPI-31507f98,R-44f6c236,2026,4.75,5.01,158.59,86.51,108.66,['EPI_either']
EPI-496bd4aa,R-ad563373,2024,5.78,4.36,142.77,-26.96,89.03,['EPI_impact']
EPI-2842e093,R-ad563373,2021,7.62,5.45,154.9,274.85,88.41,['EPI_window']
EPI-7dfc30d9,R-ad563373,2024,3.88,1.54,110.38,-69.51,77.35,['EPI_interest']
EPI-80c39c3b,R-ad563373,2026,10.52,4.4,157.26,-9.31,73.58,['EPI_consider']
EPI-2bd51e08,R-ad563373,2018,8.66,4.32,130.15,63.06,98.81,['EPI_assume']
EPI-b5673226,R-ad563373,2024,2.59,9.03,112.2,279.22,97.03,['EPI_himself']
EPI-832783ac,R-ad563373,2025,7.41,1.34,87.29,18.63,71.89,['EPI_little']
EPI-9d393023,R-ad563373,2024,7.49,4.5,176.52,245.57,67.04,['EPI_simply']
EPI-cbfebe25,R-ad563373,2023,6.07,2.46,76.87,-8.44,101.42,['EPI_role']
EPI-3f1526ff,R-ad563373,2025,11.05,8.67,175.34,150.39,95.02,['EPI_adult']
EPI-f2066d66,R-2126d448,2019,9.81,6.86,193.47,240.36,66.49,['EPI_teacher']
EPI-d09e3001,R-2126d448,2023,12.43,1.4,22.08,-96.99,78.48,['EPI_example']
EPI-d4ed69c1,R-2126d448,2021,9.42,2.68,116.88,179.07,88.49,['EPI_compare']
EPI-f03598ed,R-2126d448,2026,1.04,1.69,78.94,158.79,103.84,['EPI_live']
EPI-c8f88bb1,R-2126d448,2024,2.87,0.27,76.08,291.44,50.48,['EPI_office']
EPI-fc1ee1f4,R-2126d448,2025,10.18,9.77,154.69,23.85,60.68,['EPI_live']
EPI-eb3deffc,R-2126d448,2025,6.74,0.77,43.14,235.98,69.21,['EPI_water']
EPI-722c01d4,R-2126d448,2022,12.22,2.71,169.54,288.92,62.07,['EPI_life']
EPI-2de39d1b,R-2126d448,2021,7.95,1.77,99.36,208.91,76.08,['EPI_sort']
EPI-718e844d,R-2126d448,2024,2.89,4.82,104.24,19.65,55.37,['EPI_buy']
EPI-5e025c21,R-7204d489,2023,10.55,3.17,54.3,-42.46,111.47,['EPI_shake']
EPI-395032b7,R-7204d489,2025,11.14,2.67,39.33,22.95,95.45,['EPI_attack']
EPI-06261e85,R-7204d489,2024,5.06,1.18,145.62,38.06,65.09,['EPI_culture']
EPI-5784294d,R-7204d489,2019,10.34,0.65,138.94,99.53,112.87,['EPI_west']
EPI-8d6a672c,R-7204d489,2020,11.96,4.41,26.35,40.11,91.34,['EPI_maintain']
EPI-846fbff9,R-7204d489,2023,4.34,4.07,73.81,75.41,119.01,['EPI_view']
EPI-c6eb3697,R-7204d489,2025,4.71,6.36,190.33,280.37,58.66,['EPI_Mrs']
EPI-2e594542,R-7204d489,2025,1.08,1.16,142.43,224.57,92.27,['EPI_available']
EPI-70a19695,R-7204d489,2022,1.1,4.17,77.82,259.97,94.7,['EPI_husband']
EPI-86e4b8cc,R-7204d489,2025,0.85,9.46,120.61,294.32,54.84,['EPI_but']
EPI-9af19220,R-05b8fedb,2019,7.54,3.37,11.39,230.44,80.46,['EPI_decade']
EPI-6b9ef174,R-05b8fedb,2021,12.26,9.97,185.94,44.53,98.7,['EPI_word']
EPI-2843c9c0,R-05b8fedb,2023,13.44,9.52,46.24,128.37,75.39,['EPI_board']
EPI-2297f21e,R-05b8fedb,2022,3.5,5.04,87.67,238.37,83.11,['EPI_image']
EPI-e120ccc1,R-05b8fedb,2018,4.88,4.17,150.43,176.26,94.33,['EPI_morning']
EPI-e83bd4be,R-05b8fedb,2021,1.1,0.72,130.52,-49.68,65.1,['EPI_note']
EPI-a7e9c780,R-05b8fedb,2020,9.17,5.4,124.56,132.65,54.26,['EPI_push']
EPI-fde315ea,R-05b8fedb,2023,10.62,2.03,162.22,-55.88,51.27,['EPI_open']
EPI-53789df5,R-05b8fedb,2022,11.24,4.12,46.88,-27.66,106.74,['EPI_body']
EPI-aed67bbf,R-05b8fedb,2026,11.44,9.16,25.2,-16.51,51.47,['EPI_tend']
EPI-473db104,R-406d4edb,2019,7.7,6.94,125.42,293.94,80.16,['EPI_training']
EPI-a0d7d958,R-406d4edb,2020,10.52,4.39,94.88,251.97,98.35,['EPI_difficult']
EPI-ccdb2553,R-406d4edb,2026,7.78,6.36,186.17,-33.4,50.03,['EPI_pick']
EPI-c77ed338,R-406d4edb,2023,12.71,5.45,76.08,107.13,62.01,['EPI_understand']
EPI-a872790b,R-406d4edb,2020,10.84,7.88,124.33,113.62,114.56,['EPI_organization']
EPI-98dcd241,R-406d4edb,2021,12.8,8.85,57.94,-14.02,101.79,['EPI_any']
EPI-2acec9ba,R-406d4edb,2020,13.45,0.5,68.07,162.09,67.42,['EPI_such']
EPI-04c927c1,R-406d4edb,2024,2.66,5.13,152.22,-6.38,52.91,['EPI_building']
EPI-de8ab0b9,R-406d4edb,2023,10.78,3.17,149.6,-24.22,66.42,['EPI_rich']
EPI-273ceeea,R-406d4edb,2018,14.13,4.25,23.52,297.75,70.62,['EPI_level']
EPI-baca841a,R-fddf2da7,2025,12.22,2.93,153.76,-43.84,106.91,['EPI_much']
EPI-d4e86a73,R-fddf2da7,2025,3.61,2.92,56.98,204.47,57.22,['EPI_hour']
EPI-dfaf9b82,R-fddf2da7,2021,0.14,4.82,195.85,39.19,86.37,['EPI_garden']
EPI-1887c029,R-fddf2da7,2026,9.01,0.0,28.66,293.64,69.48,['EPI_land']
EPI-18bd7fc2,R-fddf2da7,2023,8.61,9.79,54.45,180.0,103.82,['EPI_identify']
EPI-a08be9ac,R-fddf2da7,2023,7.22,6.89,184.4,47.01,95.32,['EPI_give']
EPI-9c892407,R-fddf2da7,2018,1.89,3.36,58.29,232.52,116.76,['EPI_lose']
EPI-22c5ede4,R-fddf2da7,2020,7.0,3.05,97.09,-26.44,93.72,['EPI_close']
EPI-5a4bde45,R-fddf2da7,2018,14.62,9.92,162.43,258.64,101.21,['EPI_although']
EPI-5949be7b,R-fddf2da7,2025,13.05,0.59,25.04,251.47,92.15,['EPI_against']
EPI-a5edce7e,R-7216cc17,2026,5.17,0.11,90.56,2.24,88.28,['EPI_little']
EPI-f18420bc,R-7216cc17,2025,11.14,6.51,109.93,44.96,83.17,['EPI_seat']
EPI-dde90350,R-7216cc17,2021,14.45,3.99,118.8,151.53,83.54,['EPI_begin']
EPI-80df268f,R-7216cc17,2023,0.8,2.98,136.04,-7.84,88.08,['EPI_program']
EPI-cd33fdf8,R-7216cc17,2024,3.72,4.45,25.7,9.24,54.47,['EPI_their']
EPI-dc6685e5,R-7216cc17,2018,13.17,3.47,126.4,144.86,63.31,['EPI_story']
EPI-1c7332ee,R-7216cc17,2019,3.18,6.52,151.91,-7.44,56.86,['EPI_stock']
EPI-1b452085,R-7216cc17,2024,2.22,1.16,15.46,273.93,59.14,['EPI_cold']
EPI-a6fbec36,R-7216cc17,2024,4.01,4.86,160.81,-89.23,107.53,['EPI_something']
EPI-d3210073,R-7216cc17,2026,11.14,7.16,44.23,130.35,79.75,['EPI_any']
EPI-7d1ed8be,R-598fad30,2018,8.78,3.51,20.8,-64.35,87.22,['EPI_most']
EPI-ac7f31a4,R-598fad30,2024,9.47,6.13,120.74,62.14,53.79,['EPI_worry']
EPI-b7cec57d,R-598fad30,2018,11.65,8.13,104.12,-78.54,62.28,['EPI_available']
EPI-4580cd8b,R-598fad30,2019,5.02,6.74,21.13,260.66,87.25,['EPI_drop']
EPI-1ddb4f11,R-598fad30,2026,11.94,7.5,148.5,54.18,58.49,['EPI_employee']
EPI-d1516cb0,R-598fad30,2026,12.57,8.75,46.98,169.71,95.96,['EPI_right']
EPI-6c194fd0,R-598fad30,2022,0.27,7.76,189.02,126.69,72.68,['EPI_contain']
EPI-6c8070ce,R-598fad30,2018,8.65,1.45,182.96,285.11,110.28,['EPI_federal']
EPI-90c4c7b4,R-598fad30,2023,3.96,2.74,146.38,21.03,104.42,['EPI_build']
EPI-6a6dec19,R-598fad30,2022,14.91,1.15,118.65,-92.63,112.66,['EPI_technology']
EPI-ab040b0a,R-a850224c,2023,1.5,6.21,185.75,-95.79,61.54,['EPI_city']
EPI-dd77bfdd,R-a850224c,2023,1.49,4.6,172.41,230.89,103.66,['EPI_front']
EPI-a1d8a117,R-a850224c,2020,12.11,8.3,198.7,-91.46,61.01,['EPI_feel']
EPI-cd060896,R-a850224c,2025,6.27,9.01,43.19,130.58,62.42,['EPI_others']
EPI-200d05fa,R-a850224c,2020,12.11,8.08,68.15,211.0,83.33,['EPI_large']
EPI-cb51a079,R-a850224c,2022,13.89,0.44,40.15,257.35,59.47,['EPI_above']
EPI-d8194162,R-a850224c,2023,0.34,4.36,85.6,58.15,79.66,['EPI_beyond']
EPI-ccdff63f,R-a850224c,2026,1.55,1.72,55.27,-36.31,68.64,['EPI_several']
EPI-2d27807c,R-a850224c,2020,6.56,1.13,163.17,5.78,61.74,['EPI_design']
EPI-02a5460d,R-a850224c,2024,12.57,7.64,101.12,155.97,66.06,['EPI_education']
EPI-2b17d413,R-3247b42e,2024,1.41,3.27,22.37,295.37,118.62,['EPI_foot']
EPI-67e94dd8,R-3247b42e,2018,10.86,2.59,51.55,260.22,76.13,['EPI_north']
EPI-66472e75,R-3247b42e,2022,5.91,1.02,188.28,174.19,117.59,['EPI_someone']
EPI-b69c0ef4,R-3247b42e,2020,8.04,5.53,117.22,18.81,90.69,['EPI_history']
EPI-55b2a4b7,R-3247b42e,2018,0.79,3.27,26.22,17.85,98.6,['EPI_sport']
EPI-262aa55e,R-3247b42e,2021,0.08,2.78,158.72,297.97,75.19,['EPI_Republican']
EPI-e820fb56,R-3247b42e,2025,4.44,2.46,65.14,274.23,97.21,['EPI_customer']
EPI-732475a6,R-3247b42e,2020,7.18,6.66,10.06,200.67,63.42,['EPI_include']
EPI-4723740f,R-3247b42e,2021,12.67,5.04,115.27,264.49,75.21,['EPI_network']
EPI-65bf590e,R-3247b42e,2018,10.82,3.87,10.73,-51.56,104.66,['EPI_black']
EPI-a8d1d30a,R-fbb36ec8,2021,7.37,4.48,196.11,-40.41,73.87,['EPI_our']
EPI-112be510,R-fbb36ec8,2018,8.76,8.74,162.1,96.29,92.09,['EPI_source']
EPI-a408f42e,R-fbb36ec8,2023,11.76,4.85,70.76,161.62,82.18,['EPI_take']
EPI-4b5edb5d,R-fbb36ec8,2018,2.78,1.01,125.1,148.47,56.12,['EPI_art']
EPI-d9a95fd9,R-fbb36ec8,2024,6.96,7.88,73.95,42.34,83.33,['EPI_past']
EPI-64c7cb21,R-fbb36ec8,2025,5.57,0.32,121.39,217.48,52.83,['EPI_not']
EPI-0e53e6d0,R-fbb36ec8,2024,12.42,3.86,51.45,190.99,104.98,['EPI_military']
EPI-16b64c69,R-fbb36ec8,2022,4.17,1.58,143.24,284.55,83.7,['EPI_talk']
EPI-3dde43e9,R-fbb36ec8,2026,8.62,5.17,10.3,126.99,90.29,['EPI_lot']
EPI-c8770f3e,R-fbb36ec8,2022,3.4,2.63,184.38,243.14,95.69,['EPI_term']
EPI-6a56e01a,R-3b250403,2026,12.29,6.76,44.31,-88.68,115.37,['EPI_last']
EPI-ee1afc63,R-3b250403,2023,0.62,3.25,184.87,44.49,108.92,['EPI_material']
EPI-8ea6016b,R-3b250403,2026,8.75,3.29,126.76,96.37,113.47,['EPI_fight']
EPI-9ca47554,R-3b250403,2023,4.15,9.33,12.0,298.56,113.59,['EPI_out']
EPI-76aaac58,R-3b250403,2025,0.0,2.36,28.41,-34.48,83.49,['EPI_itself']
EPI-1e3734f9,R-3b250403,2022,2.53,2.0,65.63,152.49,106.39,['EPI_live']
EPI-5834da1c,R-3b250403,2026,5.94,6.55,95.07,174.82,81.07,['EPI_beautiful']
EPI-7693209c,R-3b250403,2020,3.81,6.55,45.78,242.75,83.53,['EPI_trial']
EPI-61590454,R-3b250403,2019,9.97,3.83,62.58,90.53,87.49,['EPI_our']
EPI-f2f896df,R-3b250403,2025,8.77,7.35,138.36,177.65,99.86,['EPI_series']
EPI-24fb4def,R-05c9c710,2025,8.02,0.16,193.23,253.26,104.62,['EPI_scientist']
EPI-20f34ec2,R-05c9c710,2023,12.69,4.21,123.48,59.82,83.47,['EPI_ever']
EPI-2b989a40,R-05c9c710,2018,8.8,9.45,134.72,201.41,113.33,['EPI_soon']
EPI-6ea5d815,R-05c9c710,2019,11.63,9.7,74.49,42.48,81.96,['EPI_wind']
EPI-684589c2,R-05c9c710,2022,11.96,3.62,100.74,21.15,64.28,['EPI_model']
EPI-3457f746,R-05c9c710,2025,12.55,6.21,128.74,-89.05,82.99,['EPI_they']
EPI-f3c1d195,R-05c9c710,2023,14.8,2.16,85.59,-27.33,72.06,['EPI_benefit']
EPI-7e072170,R-05c9c710,2025,6.87,8.3,62.59,5.15,55.01,['EPI_check']
EPI-b71bb7ed,R-05c9c710,2018,0.23,0.87,88.98,210.27,115.76,['EPI_history']
EPI-3776ff60,R-05c9c710,2023,0.86,0.23,109.45,-39.08,84.63,['EPI_today']
EPI-59c976d6,R-8292eb21,2021,0.87,7.17,127.25,199.82,89.63,['EPI_support']
EPI-448ea91a,R-8292eb21,2024,6.85,7.06,93.84,55.89,119.24,['EPI_analysis']
EPI-8add440e,R-8292eb21,2020,11.59,7.94,172.99,36.9,57.13,['EPI_room']
EPI-574a03b8,R-8292eb21,2019,3.51,0.25,25.28,-88.27,119.3,['EPI_page']
EPI-5caf3cea,R-8292eb21,2019,9.26,8.74,85.89,160.65,118.43,['EPI_eight']
EPI-d0e73dfe,R-8292eb21,2020,2.21,3.75,148.4,90.97,81.21,['EPI_why']
EPI-d9f89d8d,R-8292eb21,2025,9.04,8.55,138.89,-49.41,75.43,['EPI_marriage']
EPI-758481e4,R-8292eb21,2026,9.13,0.05,145.57,-40.36,110.3,['EPI_as']
EPI-1139ef17,R-8292eb21,2021,6.02,7.81,40.78,135.56,116.47,['EPI_successful']
EPI-f00eaba8,R-8292eb21,2025,14.96,6.69,105.67,236.5,109.71,['EPI_American']
EPI-ed49560a,R-49737733,2019,8.31,6.51,85.97,180.85,86.94,['EPI_PM']
EPI-e761540c,R-49737733,2018,5.4,6.41,89.4,80.02,86.43,['EPI_born']
EPI-5114c500,R-49737733,2018,3.22,8.51,150.14,168.59,58.69,['EPI_beat']
EPI-59868cea,R-49737733,2021,4.48,8.23,29.33,249.62,69.28,['EPI_building']
EPI-d0d540b5,R-49737733,2022,9.98,6.6,114.76,49.81,98.18,['EPI_involve']
EPI-b7edcd3e,R-49737733,2023,13.93,8.65,144.6,294.46,60.0,['EPI_show']
EPI-f232970c,R-49737733,2021,11.49,9.62,126.23,68.28,66.83,['EPI_four']
EPI-761af39f,R-49737733,2024,13.11,7.59,59.25,-43.55,56.07,['EPI_decade']
EPI-72898328,R-49737733,2024,11.43,4.07,24.33,242.82,89.9,['EPI_stuff']
EPI-cb8ab74c,R-49737733,2022,8.63,6.74,39.24,-42.99,72.31,['EPI_upon']
EPI-62381f92,R-8300a661,2020,14.13,6.9,16.05,-80.1,50.67,['EPI_maybe']
EPI-ef06dbeb,R-8300a661,2022,13.28,5.71,125.7,287.63,101.99,['EPI_mean']
EPI-0dd2c2fd,R-8300a661,2025,5.54,1.0,160.99,26.2,92.71,['EPI_week']
EPI-67f8e3e8,R-8300a661,2026,13.92,1.82,88.45,202.22,98.06,['EPI_get']
EPI-fb23a8b5,R-8300a661,2023,4.47,2.06,140.92,174.11,55.86,['EPI_federal']
EPI-4a1b6fa5,R-8300a661,2023,1.84,9.13,52.55,170.35,110.23,['EPI_kind']
EPI-eca978f6,R-8300a661,2025,0.58,9.92,182.36,287.21,119.6,['EPI_value']
EPI-7dc26956,R-8300a661,2023,13.64,8.93,43.69,138.88,89.1,['EPI_consumer']
EPI-eada7ff8,R-8300a661,2020,14.74,1.18,11.19,190.92,53.27,['EPI_open']
EPI-3d9b6b40,R-8300a661,2025,8.34,4.75,61.6,193.35,75.92,['EPI_fish']
EPI-8898b9de,R-99a2d752,2024,11.64,7.5,90.33,15.41,118.4,['EPI_among']
EPI-2911cbf0,R-99a2d752,2023,5.25,8.34,190.52,19.31,51.65,['EPI_indicate']
EPI-b3a8072d,R-99a2d752,2024,11.03,7.41,15.79,218.18,79.55,['EPI_book']
EPI-88a81d97,R-99a2d752,2018,3.51,3.39,97.57,273.16,101.57,['EPI_image']
EPI-fa4a8b54,R-99a2d752,2025,7.48,5.52,117.31,191.31,81.11,['EPI_recent']
EPI-1a999e0f,R-99a2d752,2025,8.85,3.59,128.51,38.17,72.06,['EPI_describe']
EPI-419e6642,R-99a2d752,2024,8.49,6.43,116.37,182.74,50.48,['EPI_side']
EPI-0bb23f64,R-99a2d752,2022,0.77,4.77,127.46,-22.08,102.66,['EPI_create']
EPI-35f6c4bd,R-99a2d752,2023,1.96,5.68,76.51,-16.66,83.15,['EPI_section']
