id,workStreamID,name,description,startDate,endDate,budgetAllocated,projectID
ws_187,WS-1187,Workstream_187_Add,Among raise for explain nothing.,2024-07-19T21:54:27,2024-12-01T21:54:27,4440123.27,proj_0
ws_188,WS-1188,Workstream_188_Interesting,Travel strong much allow could west system easy.,2024-07-12T21:54:27,2024-12-21T21:54:27,556726.52,proj_0
ws_189,WS-1189,Workstream_189_Story,Head until kitchen imagine read push simple each along likely.,2024-06-21T21:54:27,2024-08-26T21:54:27,710034.48,proj_0
ws_190,WS-1190,Workstream_190_Whom,Decide south culture development nice team.,2024-08-03T21:54:27,2025-01-21T21:54:27,3472609.07,proj_0
ws_191,WS-1191,Workstream_191_Stuff,Structure meet environment politics state could real professional job dog.,2024-09-13T21:54:27,2025-03-07T21:54:27,3853077.4,proj_0
ws_192,WS-1192,Workstream_192_Card,Pattern minute key major factor me glass data meet involve.,2024-05-10T21:54:27,2024-08-16T21:54:27,2375887.2,proj_0
ws_193,WS-1193,Workstream_193_Blue,Call forget might treatment visit build pick recently bar bed.,2024-07-28T21:54:27,2024-12-21T21:54:27,4281779.21,proj_0
ws_194,WS-1194,Workstream_194_Still,Left risk specific technology know rule meet.,2024-08-03T21:54:27,2024-10-05T21:54:27,2232662.33,proj_0
ws_195,WS-1195,Workstream_195_Own,Maintain need resource beat child treatment those speak.,2024-04-26T21:54:27,2024-09-18T21:54:27,2405318.67,proj_0
ws_196,WS-1196,Workstream_196_If,Give option parent image land chance foreign technology foreign.,2024-10-06T21:54:27,2025-02-02T21:54:27,1347188.24,proj_0
ws_197,WS-1197,Workstream_197_Region,Check dark capital road.,2024-07-10T21:54:27,2024-09-11T21:54:27,2606495.92,proj_0
ws_198,WS-1198,Workstream_198_Least,Care single subject since thousand manager.,2024-05-07T21:54:27,2024-09-12T21:54:27,1249731.04,proj_0
ws_199,WS-1199,Workstream_199_Sister,Everyone place movement type away democratic personal even that hundred.,2024-07-01T21:54:27,2024-09-25T21:54:27,2700877.58,proj_0
